ch_id,City,OtherName,Country,Latitude,Longitude,Certainty,n_obs
261,Carlisle,,United Kingdom,54.8951,-2.9382,1,1
262,Cartagena,,Spain,37.625683,-0.996583,1,10
263,Carthage,,Tunisia,36.8581,10.3308,3,6
264,Casablanca,,Morocco,33.58831,-7.61138,1,2
265,Cassel,,France,50.80109,2.48527,1,1
266,Catania,,Italy,37.50213,15.08719,1,17
267,Cerignola,,Italy,41.26403,15.90046,1,1
268,Ceske Budejovice,"Budweis, Ceské Budejovice",Czech Republic,48.974722,14.474722,2,1
269,Ceuta,,Spain,35.88933,-5.31979,1,6
270,Chakanputun,Chanpoton,Mexico,19.35,-90.716667,2,1
271,Chanchan, Chancán ,Peru,-8.106,-79.074536,1,1
272,Chanda,,India,26.064269,82.315343,3,4
273,Chandannagar,Chandernagore,India,22.87,88.38,2,6
274,Chanderi,,India,24.71514,78.1376,2,2
275,Chandragiri,,India,13.5833,79.3167,2,2
276,Changchun,"Hsinking, Kwangchingtsu",China,43.9,125.2,1,5
277,Changsha,,China,28.196111,112.972222,1,16
278,Changteh,,China,28.228209,112.938814,3,1
279,Changzhou,"Changchow, Jiangsu province",China,31.77358,119.95401,1,6
280,Chaozhou,"Chaochow, Chaohsien",China,23.67,116.63,3,4
281,Charleston,South Carolina,United States of America,32.7833,-79.9333,1,3
282,Chatham,,United Kingdom,51.37891,0.52786,2,5
283,Chattanooga,Tennessee,United States of America,35.04563,-85.30968,1,1
284,Chefoo,Yantai,China,37.535,121.389167,2,1
285,Cheltenham,,United Kingdom,51.883333,-2.066667,2,1
286,Chelyabinsk,,Russian Federation,55.15402,61.42915,1,2
287,Chemnitz,,Germany,50.83333,12.91667,1,2
288,Chengde,Jehol,China,40.966667,117.933333,3,4
289,Chengdu,,China,30.66667,104.06667,1,35
290,Cherbourg,Cherbourg-Octeville,France,49.639093,-1.625298,1,1
291,Chernivtsi,Czernowitz,Ukraine,48.291683,25.935217,3,1
292,Chester,,United Kingdom,53.1903,-2.8916,3,1
293,Chhapra,,India,25.7848,84.7274,3,5
294,Chiang Mai,Chiengmai,Thailand,18.790978,98.960775,1,4
295,Chibiri,Naya,Ghana,6.82,-2.42,3,2
296,Chicago,Illinois,United States of America,41.85003,-87.65005,1,7
297,Chihuahua,,Mexico,28.63333,-106.08333,1,1
298,Chillan, Chillán ,Chile,-36.60664,-72.10344,1,1
299,Chillicothe,Ohio,United States of America,39.3364,-82.9839,3,2
300,Chincha,,Peru,-13.45,-76.133333,2,1
301,Chinkiang,Zhenjiang,China,32.2,119.416667,2,15
302,Chisinau,"Kishinev, Chisinãu ",Republic of Moldova,47.026858,28.84155,1,5
303,Chittagong,,Bangladesh,22.3384,91.83168,1,2
304,Chittoor,,India,13.217176,79.100329,2,8
305,Cholula,,Mexico,19.06333,-98.306389,1,12
306,Chongqing,"Chonquing, Chungking",China,29.56301,106.551557,2,11
307,Chorzow ,Konigshutte,Poland,50.3,18.95,3,1
308,Christchurch,,New Zealand,-43.532054,172.636225,1,1
309,Chunar,"Chandalgar, Uttar Pradesh",India,25.12909,82.8836,1,2
310,Cincinnati,,United States of America,39.162,-84.45689,1,9
311,Clermont,,France,45.7831,3.0824,2,9
312,Cleveland,Ohio,United States of America,41.499495,-81.695409,1,6
313,Cluj-Napoca,Koloszvar,Romania,46.777248,23.59989,1,1
314,Coatbridge,,United Kingdom,55.86216,-4.02469,1,1
315,Cochabamba,Oropesa,Bolivia,-17.3895,-66.1568,1,5
316,Cochin,,India,9.93988,76.26022,1,8
317,Coimbatore,,India,11.00555,76.96612,1,2
318,Coimbra,,Portugal,40.20564,-8.41955,1,5
319,Colchester,,United Kingdom,51.88921,0.90421,1,1
320,Colmar,,France,48.08333,7.36667,1,1
321,Cologne,"Koln, Coln",Germany,50.937531,6.960278,1,28
322,Colombo,,Sri Lanka,6.9344,79.8428,1,5
323,Columbus,Ohio,United States of America,39.961176,-82.998794,1,4
324,Conakry,,Guinea,9.53795,-13.67729,1,1
325,Concepcion, Concepción ,Chile,-36.818938,-73.050319,1,1
326,Constantine,,Algeria,36.365,6.61472,1,13
327,Copenhagen,,Denmark,55.67594,12.56553,1,20
328,Cordoba,,Argentina,-31.4135,-64.18105,1,3
329,Cordoba,"Cordova, Córdoba",Spain,38.046133,-4.893564,2,25
330,Corinth,,Greece,37.938636,22.932228,1,3
331,Cork,,Ireland,51.89797,-8.47061,1,12
332,Cossimbazar,Kasimbazar,India,24.1167,88.2833,3,4
333,Cottbus,,Germany,51.75769,14.32888,1,1
334,Coventry,,United Kingdom,52.40656,-1.51217,3,3
335,Craiova,,Romania,44.333333,23.816667,2,1
336,Cremona,,Italy,45.13617,10.02797,1,16
337,Crewe,,United Kingdom,53.09787,-2.44161,1,1
338,Crotone,Croton,Italy,39.08144536,17.12880422,2,1
339,Ctesiphon,Taq-I  Kisra,Iraq,33.09378746,44.58006701,1,3
340,Cuddalore,,India,11.74629,79.76436,2,1
341,Cuenca,,Ecuador,-2.8992,-79.0153,1,1
342,Cuiaba ,"Cuiabá, Cuyaba",Brazil,-15.598917,-56.094894,1,1
343,Curitiba,,Brazil,-25.42778,-49.27306,1,2
344,Cuttack,,India,20.46497,85.87927,1,23
345,Cuzco,,Peru,-13.525,-71.972222,1,13
346,Cyrene,near present-day Shahhat,Libya,32.81901498,21.85583296,3,2
347,Czestochowa,,Poland,50.79646,19.12409,1,1
348,Da Nang,,Vietnam,16.051571,108.214897,1,1
349,Daegu,Taegu,Republic of Korea,35.871435,128.601445,1,2
350,Daejeon,Taejon,Republic of Korea,36.350412,127.384548,1,1
351,Dakar,,Senegal,14.6937,-17.44406,1,1
352,Dali,Tali,China,25.606486,100.267638,1,13
353,Dallas,Texas,United States of America,32.78014,-96.800451,1,3
354,Damascus,,Syria,33.5102,36.29128,1,30
355,Dandong,Antung,China,40.1167,124.3833,2,1
356,Darbhanga,,India,26.15216,85.89707,1,1
357,Dar-es-Salaam,Dar es Salaam,Tanzania,-6.822921,39.269661,1,1
358,Darlington,,United Kingdom,54.527,-1.5526,3,1
359,Darmstadt,,Germany,49.87056,8.64944,1,1
360,Datong,"Taitong, Tatung",China,40.083333,113.3,2,5
361,Daugavpils,Dvinsk,Latvia,55.875,26.535556,3,1
362,Daulatabad,Deogiri,India,19.942724,75.213164,3,3
363,Davenport,Iowa,United States of America,41.5431,-90.5908,3,1
364,Dayton,Ohio,United States of America,39.11284,-84.47272,1,3
365,Debrecen,,Hungary,47.53333,21.63333,1,9
366,Delft,,Netherlands,52.00667,4.35556,1,9
367,Delhi,,India,28.65381,77.22897,1,33
368,Demak,,Indonesia,-6.8909,110.6396,1,1
369,Denver,Colorado,United States of America,39.737567,-104.984718,1,4
370,Dera Ismail Khan,,Pakistan,31.83269,70.9024,1,1
371,Derby,,United Kingdom,52.922531,-1.474619,1,5
372,Deri Ghazi Khan,,Pakistan,30.053049,70.637093,1,1
373,Des Moines,Iowa,United States of America,41.60054,-93.60911,1,1
374,Dessau-Rosslau ,,Germany,51.83864,12.24555,1,1
375,Detroit,Michigan,United States of America,42.33143,-83.04575,1,6
376,Dewsbury,,United Kingdom,53.69076,-1.62907,1,1
377,Dhaka,Dacca,India,23.709921,90.407143,1,15
378,Dhanbad,,India,23.80199,86.44324,1,1
379,Dhar,,India,22.59373,75.29774,1,5
380,Dharwad ,Dharwar,India,15.364708,75.123955,3,1
381,Dienne,"Guinea, Jenne",Senegal,15.033366,-16.350122,3,6
382,Dieppe,,France,49.922992,1.077483,1,11
383,Dijon,,France,47.31667,5.01667,1,19
384,Dikwa,Emirate,Nigeria,12.02396,13.91646,1,1
385,Dinajpur,,Bangladesh,25.62745,88.63779,2,1
386,Diu,Dui,India,21.081554,76.091401,3,6
387,Diyarbakir,Diarbekr,Turkey,37.914411,40.230628,1,15
388,Dnipropetrovsk,"Dnepropetrovsk, Ekaterinoslav",Ukraine,48.464717,35.046183,1,3
389,Donetsk,"Donestsk, Stalino",Ukraine,48.015883,37.80285,1,2
390,Dongo,Pungu n'Dongo,Angola,-9.6625,15.583889,3,1
391,Dongola,"Pachoras, Mukarra",Sudan,19.16667,30.48333,1,7
392,Dordrecht,,Netherlands,51.81,4.67361,1,9
393,Dortmund,,Germany,51.51494,7.466,1,3
394,Dover,,United Kingdom,51.13333,1.3,1,1
395,Dresden,,Germany,51.05089,13.73832,1,18
396,Dublin,,Ireland,53.33306,-6.24889,1,26
397,Dubuque,Iowa,United States of America,42.50056,-90.66457,1,1
398,Duhuang,Tunhuang,China,40.15,94.666667,2,1
399,Duluth,Minnesota,United States of America,46.786672,-92.100485,1,1
400,Dumyat,Damietta,Egypt,31.41648,31.81332,1,12
401,Dundee,,United Kingdom,56.5,-2.96667,1,10
402,Dunedin,,New Zealand,-45.87416,170.50361,1,1
403,Dunkerque,Dunkirk,France,51.0383,2.3775,1,10
404,Durango,,Mexico,24.016667,-104.666667,3,1
405,Durban,,South Africa,-29.8579,31.0292,1,3
406,Dur-Kurigalzu,,Iraq,33.35355825,44.20235367,1,2
407,Dusseldorf,Düsseldorf ,Germany,51.22172,6.77616,1,4
408,Dvin,,Armenia,40.01984,44.58376,2,1
409,Dzibalchaltun,"Dzibilchaltún, Dzibilchaltun",Mexico,21.091075,-89.590453,2,1
410,East Berlin,,Germany,52.5186,13.4044,1,1
411,Eastbourne,,United Kingdom,50.76871,0.28453,1,1
412,Ebla,,Syria,35.79839754,36.79872812,1,1
413,Ecbatana,,Iran,34.8053317919 ,48.51738769,1,1
414,Ecija,Écija ,Spain,37.5422,-5.0826,1,6
415,Edessa,Urfa,Turkey,37.15,38.8,1,13
416,Edinburgh,,United Kingdom,55.95206,-3.19648,1,23
417,Edirne,Adrianople,Turkey,41.681808,26.562269,1,19
418,Edmonton,,Canada,53.55014,-113.46871,1,1
419,Eisenach,,Germany,50.9807,10.31522,1,1
420,El Paso,Texas,United States of America,31.7903,-106.4233,1,1
421,El Tajin,"Tajin, El Tajín",Mexico,20.4481,97.3782,2,4
422,Elblag,Elbing,Poland,54.166667,19.4,2,1
423,Elis,Eleia,Greece,37.89189226,21.37348005,1,1
424,Ellora,,India,20.026319,75.177641,3,2
425,Elmira,New York,United States of America,42.0898,-76.80773,3,1
426,Elvira,,Spain,36.5025,-4.783611,3,1
427,Ephesus,,Turkey,37.94049284,27.34104109,3,2
428,Erfurt,,Germany,50.9787,11.03283,1,11
429,Erzurum,"Theodosiopolis, Erzerum",Turkey,39.90861,41.27694,1,5
430,Esfahan,Isfahan,Iran,32.651389,51.679192,1,30
431,Esztergom,,Hungary,47.7928,18.74148,1,3
432,Etawah,,India,26.7778,79.02159,1,1
433,Evansville,Indiana,United States of America,37.97476,-87.55585,1,1
434,Evora, Évora ,Portugal,38.56667,-7.9,1,4
435,Exeter,,United Kingdom,50.7236,-3.52751,1,6
436,Faisalabad,,Pakistan,31.41667,73.08333,1,1
437,Faiyum  ,Medinet-el-Fayum,Egypt,29.308374,30.844105,2,1
438,Faizabad,"Ayodhya, Ajodhya, Fyzabad",India,26.779386,82.142169,2,9
439,Fall River,Massachusetts,United States of America,41.70149,-71.15505,1,1
440,Farrukhabad,,India,27.39048,79.58006,3,8
441,Fatehpur Sikri,,India,27.0937,77.66003,1,2
442,Feodosia,"Kaffa, Theodosia, Feodosiya, Caffa",Russian Federation,45.048889,35.379167,2,13
443,Ferrara,,Italy,44.82678,11.62071,1,20
444,Fez,Fes,Morocco,34.033333,-5.01,1,27
445,Firozpur,Ferozepore,India,30.918094,74.616113,1,1
446,Firuzkoh,Ghor,Afghanistan,34.099578,64.905956,2,2
447,Fitchburg,Massachusetts,United States of America,42.58342,-71.8023,1,1
448,Flensburg,,Germany,54.78431,9.43961,1,1
449,Florence,Firenze,Italy,43.771033,11.248,1,32
450,Florianopolis,Florianópolis ,Brazil,-27.59667,-48.54917,1,1
451,Foggia,,Italy,41.46093,15.54925,1,1
